0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0.766666667,0.766666667,0.766666667,0.766666667,0.766666667,0.766666667,0.766666667,0.766666667,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.766666667,0.766666667,0.7,0.716666667,0.733333333,0.733333333
0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.85,0.833333333,0.883333333,0.883333333,0.883333333,0.883333333,0.883333333,0.883333333,0.883333333,0.916666667,0.916666667,0.916666667,0.916666667,0.9,0.816666667,0.7,0.65
0.733333333,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.716666667,0.716666667,0.716666667,0.716666667,0.716666667,0.7,0.7,0.7,0.7,0.733333333,0.733333333,0.733333333,0.716666667,0.616666667,0.616666667
0.683333333,0.683333333,0.683333333,0.683333333,0.683333333,0.683333333,0.666666667,0.666666667,0.666666667,0.65,0.666666667,0.65,0.65,0.65,0.65,0.7,0.7,0.7,0.716666667,0.7,0.666666667,0.616666667,0.65,0.583333333
0.616666667,0.633333333,0.616666667,0.616666667,0.616666667,0.616666667,0.616666667,0.666666667,0.65,0.65,0.65,0.683333333,0.7,0.7,0.7,0.7,0.7,0.7,0.683333333,0.683333333,0.683333333,0.6,0.55,0.566666667
0.783333333,0.766666667,0.766666667,0.783333333,0.783333333,0.783333333,0.766666667,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.733333333,0.733333333,0.733333333,0.733333333,0.716666667,0.716666667,0.716666667,0.666666667,0.566666667,0.583333333
0.766666667,0.766666667,0.766666667,0.766666667,0.766666667,0.766666667,0.816666667,0.816666667,0.8,0.783333333,0.783333333,0.783333333,0.766666667,0.766666667,0.766666667,0.766666667,0.766666667,0.766666667,0.75,0.733333333,0.733333333,0.716666667,0.633333333,0.666666667
0.666666667,0.666666667,0.666666667,0.666666667,0.7,0.7,0.666666667,0.7,0.7,0.683333333,0.683333333,0.683333333,0.683333333,0.683333333,0.683333333,0.683333333,0.7,0.7,0.7,0.733333333,0.733333333,0.7,0.733333333,0.633333333
0.666666667,0.666666667,0.65,0.65,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.683333333,0.683333333,0.666666667,0.666666667,0.666666667,0.683333333,0.666666667,0.666666667,0.633333333,0.616666667,0.633333333,0.616666667,0.6,0.6
0.8,0.8,0.8,0.8,0.783333333,0.783333333,0.8,0.8,0.8,0.783333333,0.8,0.8,0.783333333,0.8,0.816666667,0.8,0.8,0.8,0.816666667,0.766666667,0.783333333,0.783333333,0.65,0.533333333
